m1,L4,L1,L3,range
200.0, 0.2,  0.1,  1.0,  85.22218
220.0, 0.2,  0.1,  1.0,  44.688506
200.0, 0.2,  0.11,  1.0,  25.743999
200.0, 0.22,  0.1,  1.0,  91.438825
200.0, 0.22,  0.1,  1.1,  24.949043
191.743355085, 0.221266320697,  0.0939421945723,  0.932280685873,  115.422878
183.665905921, 0.222505158163,  0.10022032695,  0.866031098677,  114.075174
199.348336517, 0.221844599921,  0.092996652103,  0.901355918975,  119.717091
199.348336517, 0.226822887599,  0.092996652103,  0.903683212453,  117.532352
197.401132232, 0.219073605898,  0.0891891320979,  0.873723893516,  121.077708
204.25227485, 0.212484927423,  0.089238307429,  0.858198520795,  128.51421
211.467573743, 0.207080459411,  0.0896586528859,  0.836970928972,  131.135708
211.48229401, 0.200475849063,  0.0861360549143,  0.82398620758,  136.766095
212.492524873, 0.197179835602,  0.0823138794231,  0.796746701838,  136.395818
214.480419088, 0.201753345025,  0.0849850221981,  0.839052515045,  131.531368
207.080349685, 0.192067467668,  0.0877056180658,  0.825289036578,  141.682176
209.160521601, 0.189563219146,  0.0909705244048,  0.791097235466,  127.232371
203.791517321, 0.195431855278,  0.0880796505657,  0.817698126798,  135.742957
204.291906798, 0.185697323528,  0.0851425488844,  0.850472640065,  135.427818
209.811931049, 0.194037903206,  0.0882057658108,  0.843076149874,  129.528133
208.988129721, 0.192879313143,  0.0857781816689,  0.813204709949,  143.178418
209.434387831, 0.191303665875,  0.0861501363852,  0.804523137306,  144.319376
208.255780652, 0.189589164063,  0.0854736439198,  0.806029792813,  135.035321
210.374212874, 0.190815523678,  0.0861237873319,  0.807832854033,  144.672518
211.903202918, 0.192168519486,  0.08674671999,  0.804194820907,  141.566565
210.789982084, 0.191019473204,  0.0856053563089,  0.805220586571,  137.779859
209.382902577, 0.18986625435,  0.0870170522377,  0.813251578215,  145.235937
209.054609316, 0.188790025224,  0.0867487671104,  0.813713821777,  132.34375
209.167732751, 0.190106825452,  0.0868813528797,  0.815558064871,  145.178362
209.84676879, 0.190782883201,  0.087366642243,  0.813927355506,  141.454489
209.859891582, 0.189621800848,  0.0869884873098,  0.814833390098,  145.594284
209.552276536, 0.188570427003,  0.0866874532642,  0.814834316037,  133.50423
210.118481552, 0.190064848717,  0.0871617804359,  0.815261840322,  143.827476
209.733358451, 0.189497929503,  0.0870982137915,  0.815506849518,  143.864245
210.025387159, 0.189604406312,  0.0867141899712,  0.813588625819,  134.486481
209.726143311, 0.189465150248,  0.087085724472,  0.815493086555,  143.90275
209.913498607, 0.189560941765,  0.0870217093673,  0.814254129773,  145.614106
209.998458783, 0.189559136512,  0.0868849117044,  0.813630023267,  131.845515
209.982895572, 0.189700867588,  0.0870825756948,  0.814394306999,  144.950788
209.984688518, 0.189516887554,  0.0870204454497,  0.814527297904,  145.612407
